Permutation,Num_Intervals,Strategy,Team Work Depletion,Team Work Depletion %,Cyclist init pos 0 Work Depleted,Cyclist init pos 0 Work Depleted %,Cyclist init pos 1 Work Depleted,Cyclist init pos 1 Work Depleted %,Cyclist init pos 2 Work Depleted,Cyclist init pos 2 Work Depleted %,Cyclist init pos 3 Work Depleted,Cyclist init pos 3 Work Depleted %,Expected Split Time per Lap,Expected Constant Velocity,Feasibility
"('M4', 'M1', 'M3', 'M2')",7,"(2.25, 3.25, 3.75, 6.75, 8.75, 11.75)",104844.43293555915,95.93010860322225,24240.345696160082,92.9125124280374,28604.849945160408,98.29845341979522,24445.21502708845,95.80649822692574,27554.022267150212,96.3835339457676,13.4,67.16417910447761,feasible
"('M4', 'M1', 'M3', 'M2')",8,"(2.25, 4.25, 7.75, 8.75, 10.75, 12.75, 14.25)",104689.55637627478,95.78840031470135,24109.363620419383,92.41046209044525,28604.849945160408,98.29845341979522,25361.552240766327,99.39783745385469,26613.79056992866,93.09461834472012,13.4,67.16417910447761,feasible
"('M4', 'M2', 'M1', 'M3')",7,"(2.25, 4.75, 5.25, 9.75, 11.75, 12.25)",104966.37373181111,96.04168146884884,24965.207859225353,95.69088719127706,28010.95514299951,97.9818779161455,28316.882593163864,97.30887489059748,23673.328136422373,92.78129350117314,13.4,67.16417910447761,feasible
"('M4', 'M2', 'M1', 'M3')",8,"(2.25, 4.25, 4.75, 6.75, 8.75, 9.75, 13.25)",104916.49483002679,95.99604348568458,25106.05864694825,96.2307640036311,27989.335770392187,97.90625369281501,27231.431946601846,93.57880394021252,24589.668466084502,96.372644940371,13.4,67.16417910447761,feasible
"('M4', 'M2', 'M3', 'M1')",7,"(2.25, 2.75, 3.75, 7.75, 9.75, 12.25)",105227.78949067723,96.28087053627442,24693.384548075876,94.64899665506219,28062.92136424868,98.16365493589386,24445.21502708845,95.80649822692574,28026.26855126422,96.31020120709354,13.4,67.16417910447761,feasible
"('M4', 'M2', 'M3', 'M1')",8,"(2.25, 2.75, 6.75, 7.25, 9.25, 11.75, 12.25)",105533.59720225495,96.56067716178582,24834.225783484653,95.1888368536849,28041.286166804355,98.08797535753392,23588.45391708622,92.44865164323365,29069.631334879727,99.89564032604717,13.4,67.16417910447761,feasible
"('M4', 'M3', 'M1', 'M2')",7,"(2.25, 2.75, 5.25, 8.25, 10.25, 14.25)",105916.42070982257,96.9109513692814,24285.647983163894,93.08615472493447,25341.70501699711,99.3200515556023,29046.840695608724,99.81732197803686,27242.22701405285,95.29287908348759,13.4,67.16417910447761,feasible
"('M4', 'M3', 'M1', 'M2')",8,"(2.25, 3.25, 5.75, 6.25, 8.25, 11.75, 13.25)",106006.31652421562,96.99320385514302,24426.49886838572,93.62603191099895,25341.70501699711,99.3200515556023,27961.39656831463,96.08727343063447,28276.716070518167,98.91150543588121,13.4,67.16417910447761,feasible
"('M4', 'M3', 'M2', 'M1')",7,"(-1,)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.4,67.16417910447761,infeasible
"('M4', 'M3', 'M2', 'M1')",8,"(2.25, 6.25, 8.75, 9.25, 11.25, 11.75, 12.25)",106381.34859802795,97.33634909007047,24970.137439059392,95.70978212179233,25341.70501699711,99.3200515556023,27729.832909536584,96.99851679125496,28339.67323243486,97.38719323860776,13.4,67.16417910447761,feasible
